name,time,BatV,Door_status,EXTI_Trigger,Hum_SHT31,TempC_SHT31,alt1,alt2,bw,chan1,f_cnt,freq1,gw1,gw2,lat1,lat2,lon1,lon2,rssi1,rssi2,rx_time1,sf,snr1,snr2
s31lb,1746130438977602979,3.606,OPEN,FALSE,75.6,14.8,0,0,125000,4,1811,0,,eui-00007076ff032b3f,0,0,0,0,-104,-122,2025-05-01T20:13:58.700Z,7,9.5,-6
s31lb,1746131638780531950,3.606,OPEN,FALSE,77.2,14.7,0,0,125000,1,1812,0,,eui-7076ff0056070bb4,0,0,0,0,-104,-117,2025-05-01T20:33:58.491Z,7,9,-1
s31lb,1746132838579797087,3.606,OPEN,FALSE,77.6,14.4,0,0,125000,2,1813,0,,eui-00007076ff031372,0,0,0,0,-117,-100,2025-05-01T20:53:58.282Z,7,-0.8,7
s31lb,1746134038375447264,3.606,OPEN,FALSE,78.8,14.3,0,0,125000,7,1814,0,,eui-00007076ff031372,0,0,0,0,-120,-102,2025-05-01T21:13:58.074Z,7,-5.5,7
s31lb,1746135238162974101,3.606,OPEN,FALSE,80,14.2,0,0,125000,0,1815,0,,eui-00007076ff031358,0,0,0,0,-104,-120,2025-05-01T21:33:57.866Z,7,9.5,-4.5
s31lb,1746136437937352119,3.606,OPEN,FALSE,81.3,14.1,0,0,125000,6,1816,0,,eui-7076ff0056070bb4,0,0,0,0,-101,-119,2025-05-01T21:53:57.658Z,7,9.5,-3.5
s31lb,1746137637739741426,3.606,OPEN,FALSE,77.6,14.7,0,0,125000,7,1817,0,,eui-00007076ff031372,0,0,0,0,-119,-101,2025-05-01T22:13:57.449Z,7,-5.5,7.5
s31lb,1746138837526980214,3.606,OPEN,FALSE,72.4,15.2,0,0,125000,3,1818,0,,eui-00007076ff031358,0,0,0,0,-101,-119,2025-05-01T22:33:57.241Z,7,9.2,-6.5
s31lb,1746140037315817812,3.606,OPEN,FALSE,72.5,15.2,0,0,125000,4,1819,0,,eui-00007076ff031372,0,0,0,0,-120,-101,2025-05-01T22:53:57.032Z,7,-5.5,9.5
s31lb,1746141237127439400,3.606,OPEN,FALSE,71.5,15.5,0,0,125000,1,1820,0,,eui-00007076ff031358,0,0,0,0,-104,-118,2025-05-01T23:13:56.823Z,7,10.2,-2.2
s31lb,1746142436898898943,3.606,OPEN,FALSE,74.6,14.2,0,0,125000,3,1821,0,,eui-7076ff0056070bb4,0,0,0,0,-101,-119,2025-05-01T23:33:56.613Z,7,9,-2.2
s31lb,1746143636704897764,3.606,OPEN,FALSE,79.7,13.3,0,0,125000,7,1822,0,,eui-7076ff0056070bb4,0,0,0,0,-100,-120,2025-05-01T23:53:56.404Z,7,7,-6.2
s31lb,1746144836482938398,3.606,OPEN,FALSE,81.6,13,0,0,125000,0,1823,0,,eui-00007076ff031358,0,0,0,0,-106,-120,2025-05-02T00:13:56.197Z,7,7.5,-5.8
s31lb,1746146036286481174,3.606,OPEN,FALSE,83.5,12.6,0,0,125000,6,1824,0,,eui-00007076ff032b3f,0,0,0,0,-101,-119,2025-05-02T00:33:55.989Z,7,9.2,-8.2
s31lb,1746147236084380826,3.606,OPEN,FALSE,83.7,12.5,0,0,125000,6,1825,0,,eui-00007076ff032b3f,0,0,0,0,-119,-119,2025-05-02T00:53:55.782Z,7,-7.5,-6.5
