name,time,ADC1_V,BatV,Digital_IStatus,Door_status,EXTI_Trigger,Hum_SHT,TempC1,TempC_SHT,Work_mode,alt1,alt2,bw,chan1,f_cnt,freq1,gw1,gw2,lat1,lat2,lon1,lon2,rssi1,rx_time1,sf,snr1
sn50v3_kropp,1751472165816587621,0,3.618,L,OPEN,FALSE,59.2,0,28.3,IIC,0,0,125000,1,135,0,eui-00007076ff030d23,unknown,0,0,0,0,-110,2025-07-02T16:02:45.510Z,7,8
sn50v3_kropp,1751473365589089285,0,3.624,L,OPEN,FALSE,71.7,0,26.1,IIC,0,0,125000,3,136,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-119,2025-07-02T16:22:45.289Z,7,-3.8
sn50v3_kropp,1751474565795887710,0,3.624,L,OPEN,FALSE,65.7,0,24.6,IIC,0,0,125000,7,137,0,eui-00007076ff030d23,unknown,0,0,0,0,-103,2025-07-02T16:42:45.065Z,7,6.5
sn50v3_kropp,1751475765135133271,0,3.618,L,OPEN,FALSE,64.5,0,24.1,IIC,0,0,125000,1,138,0,eui-00007076ff030d23,unknown,0,0,0,0,-111,2025-07-02T17:02:44.841Z,7,6.8
sn50v3_kropp,1751476965045305361,0,3.618,L,OPEN,FALSE,68.3,0,23.5,IIC,0,0,125000,6,139,0,eui-00007076ff030d23,unknown,0,0,0,0,-105,2025-07-02T17:22:44.616Z,7,8.2
sn50v3_kropp,1751478164726847264,0,3.618,L,OPEN,FALSE,70.7,0,23.6,IIC,0,0,125000,6,140,0,eui-00007076ff030d23,unknown,0,0,0,0,-111,2025-07-02T17:42:44.392Z,7,7
sn50v3_kropp,1751479364468762808,0,3.624,L,OPEN,FALSE,73.9,0,22.8,IIC,0,0,125000,3,141,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-116,2025-07-02T18:02:44.167Z,7,-2
sn50v3_kropp,1751480564248809616,0,3.624,L,OPEN,FALSE,92.6,0,20.3,IIC,0,0,125000,4,142,0,eui-00007076ff030d23,unknown,0,0,0,0,-112,2025-07-02T18:22:43.942Z,7,8.8
sn50v3_kropp,1751481764002009433,0,3.618,L,OPEN,FALSE,95,0,19.5,IIC,0,0,125000,1,143,0,eui-00007076ff032add,unknown,0,0,0,0,-119,2025-07-02T18:42:43.718Z,7,-2.8
sn50v3_kropp,1751482963786048936,0,3.618,L,OPEN,FALSE,96,0,19.5,IIC,0,0,125000,2,144,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-119,2025-07-02T19:02:43.494Z,7,-7.2
sn50v3_kropp,1751484163608498935,0,3.618,L,OPEN,FALSE,96.5,0,19.5,IIC,0,0,125000,0,145,0,eui-00007076ff030d23,unknown,0,0,0,0,-112,2025-07-02T19:22:43.270Z,7,7
sn50v3_kropp,1751485363349977067,0,3.618,L,OPEN,FALSE,96.8,0,19.4,IIC,0,0,125000,1,146,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-119,2025-07-02T19:42:43.046Z,7,-5.8
sn50v3_kropp,1751486563135433701,0,3.624,L,OPEN,FALSE,96.9,0,19.1,IIC,0,0,125000,6,147,0,eui-00007076ff030d23,unknown,0,0,0,0,-108,2025-07-02T20:02:42.822Z,7,8
sn50v3_kropp,1751487762886809364,0,3.618,L,OPEN,FALSE,97.1,0,18.7,IIC,0,0,125000,6,148,0,eui-00007076ff030d23,unknown,0,0,0,0,-109,2025-07-02T20:22:42.598Z,7,8.2
sn50v3_kropp,1751488962671613442,0,3.624,L,OPEN,FALSE,97.2,0,18.5,IIC,0,0,125000,4,149,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-118,2025-07-02T20:42:42.374Z,7,-7.2
sn50v3_kropp,1751490162433687003,0,3.618,L,OPEN,FALSE,97.4,0,18.3,IIC,0,0,125000,5,150,0,eui-00007076ff030d23,unknown,0,0,0,0,-113,2025-07-02T21:02:42.149Z,7,6.8
sn50v3_kropp,1751491362215179483,0,3.618,L,OPEN,FALSE,97.5,0,18.3,IIC,0,0,125000,1,151,0,eui-00007076ff030d23,eui-00007076ff032add,0,0,0,0,-107,2025-07-02T21:22:41.925Z,7,7
sn50v3_kropp,1751492562011601083,0,3.618,L,OPEN,FALSE,97.6,0,18,IIC,0,0,125000,2,152,0,eui-00007076ff030d23,eui-00007076ff032add,0,0,0,0,-111,2025-07-02T21:42:41.700Z,7,5.8
sn50v3_kropp,1751493761763320186,0,3.618,L,OPEN,FALSE,97.6,0,18.1,IIC,0,0,125000,7,153,0,eui-00007076ff030d23,unknown,0,0,0,0,-113,2025-07-02T22:02:41.477Z,7,5.2
sn50v3_kropp,1751494961536707182,0,3.624,L,OPEN,FALSE,97.7,0,17.8,IIC,0,0,125000,1,154,0,eui-00007076ff030d23,unknown,0,0,0,0,-110,2025-07-02T22:22:41.253Z,7,7
sn50v3_kropp,1751496161350164886,0,3.624,L,OPEN,FALSE,97.8,0,17.4,IIC,0,0,125000,6,155,0,eui-00007076ff030d23,unknown,0,0,0,0,-107,2025-07-02T22:42:41.029Z,7,8.2
sn50v3_kropp,1751500960429571934,0,3.624,L,OPEN,FALSE,98,0,17.7,IIC,0,0,125000,2,159,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-117,2025-07-03T00:02:40.132Z,7,-1
sn50v3_kropp,1751502160202388584,0,3.624,L,OPEN,FALSE,98.1,0,17.2,IIC,0,0,125000,3,160,0,eui-00007076ff030d23,unknown,0,0,0,0,-105,2025-07-03T00:22:39.909Z,7,8.2
