name,time,temperature,humidity,battery
sn50v3_kropp,2025-08-01 00:14:56.140580837,14.5,99.7,3.636
sn50v3_kropp,2025-08-01 00:34:55.885365756,14.7,99.7,3.636
sn50v3_kropp,2025-08-01 01:14:55.471604495,14.8,99.7,3.636
sn50v3_kropp,2025-08-01 01:34:55.236937905,14.7,99.7,3.63
sn50v3_kropp,2025-08-01 01:54:55.018536321,14.3,99.7,3.636
sn50v3_kropp,2025-08-01 02:14:54.829541452,14.1,99.7,3.636
sn50v3_kropp,2025-08-01 02:34:54.572265509,14.3,99.7,3.636
sn50v3_kropp,2025-08-01 02:54:54.372058437,14.5,99.8,3.63
sn50v3_kropp,2025-08-01 03:14:54.141898072,14.6,99.8,3.636
sn50v3_kropp,2025-08-01 03:34:53.939217947,14.5,99.8,3.636
sn50v3_kropp,2025-08-01 03:54:53.681068926,14.5,99.8,3.63
sn50v3_kropp,2025-08-01 04:14:53.50782666,14.6,99.8,3.636
sn50v3_kropp,2025-08-01 04:34:53.279473125,14.7,99.8,3.63
sn50v3_kropp,2025-08-01 04:54:53.040092916,14.7,99.8,3.636
sn50v3_kropp,2025-08-01 05:14:52.83730766,14.8,99.8,3.636
sn50v3_kropp,2025-08-01 05:34:52.599705209,15.2,99.8,3.636
sn50v3_kropp,2025-08-01 05:54:52.393223359,15.3,99.7,3.636
sn50v3_kropp,2025-08-01 06:14:52.188254628,15.6,99.6,3.636
sn50v3_kropp,2025-08-01 06:34:51.931595089,16,99.4,3.636
sn50v3_kropp,2025-08-01 06:54:51.71223734,16.2,99.3,3.636
sn50v3_kropp,2025-08-01 07:14:51.533410193,16.9,99,3.636
