name,time,temperature,humidity,battery
sn50v3_kropp,2025-09-01 00:06:43.755094555,16.7,93.6,3.636
sn50v3_kropp,2025-09-01 00:26:43.533398954,16.6,94.2,3.636
sn50v3_kropp,2025-09-01 00:46:43.338819832,16.6,94.2,3.636
sn50v3_kropp,2025-09-01 01:06:43.093255705,16.6,94.2,3.636
sn50v3_kropp,2025-09-01 01:26:42.869317729,16.6,94.5,3.636
sn50v3_kropp,2025-09-01 01:46:42.637848595,16.6,94.5,3.636
sn50v3_kropp,2025-09-01 02:06:42.431501933,16.7,94.1,3.636
sn50v3_kropp,2025-09-01 02:26:42.223057678,16.5,93.8,3.636
sn50v3_kropp,2025-09-01 02:46:41.988766186,16.3,93.4,3.636
sn50v3_kropp,2025-09-01 03:06:41.768492771,16.1,93.4,3.636
sn50v3_kropp,2025-09-01 03:26:41.528065497,15.9,93.1,3.636
sn50v3_kropp,2025-09-01 03:46:41.337490011,15.8,92.5,3.636
sn50v3_kropp,2025-09-01 04:06:41.100638779,15.3,92.1,3.636
sn50v3_kropp,2025-09-01 04:26:40.898128022,15.2,92.1,3.636
sn50v3_kropp,2025-09-01 04:46:40.654947033,15.5,91.8,3.636
sn50v3_kropp,2025-09-01 05:06:40.431575177,16,90.2,3.636
sn50v3_kropp,2025-09-01 05:26:40.207884249,16.1,89.1,3.636
sn50v3_kropp,2025-09-01 05:46:40.008503977,16.5,87.8,3.636
sn50v3_kropp,2025-09-01 06:06:39.770795714,16.6,88.3,3.636
sn50v3_kropp,2025-09-01 06:26:39.551397874,17,88,3.636
sn50v3_kropp,2025-09-01 06:46:39.333924676,17.6,82,3.636
sn50v3_kropp,2025-09-01 07:06:39.117947922,18.5,77.7,3.636
sn50v3_kropp,2025-09-01 07:26:38.895713942,18.7,77.3,3.636
sn50v3_kropp,2025-09-01 07:46:38.675835737,18.6,81.6,3.636
sn50v3_kropp,2025-09-01 08:06:38.460141416,18.5,84.8,3.636
sn50v3_kropp,2025-09-01 08:26:38.240391464,18.2,87.3,3.636
sn50v3_kropp,2025-09-01 08:46:37.999022303,18.1,89.3,3.63
sn50v3_kropp,2025-09-01 09:06:37.76925488,18.4,88,3.636
sn50v3_kropp,2025-09-01 09:26:37.56328617,18.6,85.7,3.636
sn50v3_kropp,2025-09-01 09:46:37.342275243,19.2,83.2,3.636
sn50v3_kropp,2025-09-01 10:06:37.124163503,19.2,81.3,3.636
sn50v3_kropp,2025-09-01 10:26:36.87365675,19.4,78.4,3.636
sn50v3_kropp,2025-09-01 10:46:36.675260886,19.6,79.4,3.636
sn50v3_kropp,2025-09-01 11:06:36.432592994,19.2,77.9,3.636
sn50v3_kropp,2025-09-01 11:26:36.210765448,18.4,84,3.636
sn50v3_kropp,2025-09-01 11:46:35.994162276,17.7,90.4,3.636
sn50v3_kropp,2025-09-01 12:06:35.781236155,17.6,92.9,3.636
sn50v3_kropp,2025-09-01 12:26:35.561000966,17.2,94.3,3.636
sn50v3_kropp,2025-09-01 12:46:35.311994516,16.9,95.8,3.636
sn50v3_kropp,2025-09-01 13:06:35.116359513,17.1,95.9,3.636
sn50v3_kropp,2025-09-01 13:26:34.902756849,17.1,96.3,3.636
sn50v3_kropp,2025-09-01 14:06:34.461232475,17.2,97,3.636
sn50v3_kropp,2025-09-01 14:26:34.224596177,17.2,97.1,3.636
sn50v3_kropp,2025-09-01 14:46:33.989901166,17.2,97.2,3.636
sn50v3_kropp,2025-09-01 15:06:33.773896114,17.3,97.2,3.636
sn50v3_kropp,2025-09-01 15:26:33.544355623,17.5,97,3.636
sn50v3_kropp,2025-09-01 15:46:33.339339165,17.7,96.9,3.636
sn50v3_kropp,2025-09-01 16:06:33.119742543,17.8,96.5,3.636
sn50v3_kropp,2025-09-01 16:26:32.880308105,17.8,97,3.636
sn50v3_kropp,2025-09-01 16:46:32.65556517,17.6,97,3.636
sn50v3_kropp,2025-09-01 17:06:32.433247619,17.2,96.9,3.636
sn50v3_kropp,2025-09-01 17:26:32.221506079,16.7,97.3,3.636
sn50v3_kropp,2025-09-01 17:46:31.999540294,16.3,97.4,3.636
sn50v3_kropp,2025-09-01 18:26:31.560767129,15.4,97.5,3.636
sn50v3_kropp,2025-09-01 18:46:31.334856433,14.8,97.4,3.636
sn50v3_kropp,2025-09-01 19:06:31.114470547,14.5,97.6,3.636
sn50v3_kropp,2025-09-01 19:26:30.896895614,14.2,97.2,3.636
sn50v3_kropp,2025-09-01 19:46:30.681869301,13.9,97.1,3.636
sn50v3_kropp,2025-09-01 20:06:30.453746364,13.8,97.1,3.636
sn50v3_kropp,2025-09-01 20:26:30.242210673,13.7,97.2,3.636
sn50v3_kropp,2025-09-01 20:46:30.022054776,13.3,96.8,3.636
sn50v3_kropp,2025-09-01 21:06:29.812023261,13.3,97,3.636
sn50v3_kropp,2025-09-01 21:26:29.573872897,13.3,96.7,3.636
sn50v3_kropp,2025-09-01 21:46:29.351412801,13.2,96.4,3.636
sn50v3_kropp,2025-09-01 22:06:29.133154126,13.2,96.2,3.636
sn50v3_kropp,2025-09-01 22:26:28.911313506,13.2,96.1,3.63
sn50v3_kropp,2025-09-01 22:46:28.697812395,13.3,96,3.636
sn50v3_kropp,2025-09-01 23:06:28.488234065,13.1,95.7,3.636
sn50v3_kropp,2025-09-01 23:26:28.250434214,13.1,95.6,3.636
sn50v3_kropp,2025-09-01 23:46:28.033444881,12.9,95,3.636
sn50v3_kropp,2025-09-02 00:06:27.827351024,13,95,3.636
sn50v3_kropp,2025-09-02 00:26:27.606934815,13.1,94.9,3.636
sn50v3_kropp,2025-09-02 00:46:27.375385025,13.2,94.6,3.636
sn50v3_kropp,2025-09-02 01:06:27.144888605,13.1,94.4,3.636
sn50v3_kropp,2025-09-02 01:26:26.955189659,13,94.7,3.636
sn50v3_kropp,2025-09-02 01:46:26.736226032,13,95,3.636
sn50v3_kropp,2025-09-02 02:06:26.517294589,13.1,95.1,3.636
sn50v3_kropp,2025-09-02 02:26:26.297005944,13.2,95.3,3.636
sn50v3_kropp,2025-09-02 02:46:26.081895064,13.2,95.1,3.636
sn50v3_kropp,2025-09-02 03:06:25.843518713,13.4,95.6,3.636
sn50v3_kropp,2025-09-02 03:26:25.64299036,13.3,95.7,3.636
sn50v3_kropp,2025-09-02 03:46:25.410937044,13.3,95.6,3.636
sn50v3_kropp,2025-09-02 04:06:25.201771375,13.3,95.8,3.636
sn50v3_kropp,2025-09-02 04:26:24.980113137,13.3,95.8,3.636
sn50v3_kropp,2025-09-02 04:46:24.748435406,13.3,96,3.636
sn50v3_kropp,2025-09-02 05:06:24.534701442,13.4,96.1,3.636
sn50v3_kropp,2025-09-02 05:26:24.305543614,13.8,96.2,3.636
sn50v3_kropp,2025-09-02 05:46:24.082739042,14.3,96.2,3.636
sn50v3_kropp,2025-09-02 06:06:23.886740038,14.6,95.8,3.636
sn50v3_kropp,2025-09-02 06:26:23.657880627,14.7,95.7,3.636
